Label,Text
ham,"Hello, how are you doing today?"
spam,"Win $500 now! Click here to claim your prize."
ham,"Are we meeting at 6 pm for dinner?"
spam,"Congratulations! You have been selected for a free gift voucher."
ham,"Can you send me the notes from class?"
spam,"URGENT: Your account has been compromised. Verify immediately!"
ham,"Let's catch up soon. It’s been a while."
spam,"Get a loan now at 0% interest. Limited time offer!"
ham,"Please call me when you’re free."
spam,"You are a winner! Call this number to claim your prize."
